champion,relation_type,rank,related_champion,estimated_winrate_vs_champion,estimated_delta,matchup_reason,source_type
Viktor,countered_by,1,Anivia,48.44,-6.26,castiga engages o dashes,heuristic_extended
Viktor,countered_by,2,Katarina,48.39,-3.09,castiga engages o dashes,heuristic_extended
Viktor,countered_by,3,Ahri,48.28,-6.9,tiene mejor rango y control de oleada,heuristic_extended
Viktor,favored_against,1,Ziggs,52.76,2.85,gana prioridad para objetivos,heuristic_extended
Viktor,favored_against,2,Veigar,54.01,7.25,su kit responde bien al patrón rival,heuristic_extended
Viktor,favored_against,3,Tristana,52.77,4.99,gana prioridad para objetivos,heuristic_extended
Vladimir,countered_by,1,Urgot,47.46,-5.56,niega el plan principal del campeón,heuristic_extended
Vladimir,countered_by,2,Mordekaiser,46.51,-4.87,niega el plan principal del campeón,heuristic_extended
Vladimir,countered_by,3,Irelia,43.5,-3.59,escala mejor y fuerza peleas favorables,heuristic_extended
Vladimir,favored_against,1,Tryndamere,57.09,5.76,puede abusar la fase temprana,heuristic_extended
Vladimir,favored_against,2,Fiora,52.74,2.75,puede abusar la fase temprana,heuristic_extended
Vladimir,favored_against,3,Talon,52.84,5.93,gana prioridad para objetivos,heuristic_extended
Volibear,countered_by,1,Gnar,47.07,-3.04,castiga engages o dashes,heuristic_extended
Volibear,countered_by,2,Camille,47.36,-3.99,tiene mejor rango y control de oleada,heuristic_extended
Volibear,countered_by,3,Renekton,44.16,-7.44,tiene mejor rango y control de oleada,heuristic_extended
Volibear,favored_against,1,Vayne,54.52,3.57,su kit responde bien al patrón rival,heuristic_extended
Volibear,favored_against,2,Vladimir,52.99,3.95,tiene mejor escalado en la composición,heuristic_extended
Volibear,favored_against,3,Quinn,53.1,5.48,su kit responde bien al patrón rival,heuristic_extended
Warwick,countered_by,1,Skarner,44.17,-3.12,niega el plan principal del campeón,heuristic_extended
Warwick,countered_by,2,Rammus,45.67,-5.06,escala mejor y fuerza peleas favorables,heuristic_extended
Warwick,countered_by,3,Rengar,43.59,-7.49,escala mejor y fuerza peleas favorables,heuristic_extended
Warwick,favored_against,1,Poppy,51.7,3.32,su kit responde bien al patrón rival,heuristic_extended
Warwick,favored_against,2,Elise,51.79,2.21,gana prioridad para objetivos,heuristic_extended
Warwick,favored_against,3,Nidalee,52.97,4.04,gana prioridad para objetivos,heuristic_extended
Wukong,countered_by,1,Nidalee,48.32,-3.46,niega el plan principal del campeón,heuristic_extended
Wukong,countered_by,2,KhaZix,46.33,-2.79,niega el plan principal del campeón,heuristic_extended
Wukong,countered_by,3,Graves,44.66,-4.4,escala mejor y fuerza peleas favorables,heuristic_extended
Wukong,favored_against,1,Rammus,51.93,5.97,controla mejor los intercambios,heuristic_extended
Wukong,favored_against,2,JarvanIV,56.38,6.82,controla mejor los intercambios,heuristic_extended
Wukong,favored_against,3,Vi,55.42,5.67,gana prioridad para objetivos,heuristic_extended
Xayah,countered_by,1,Ezreal,45.27,-4.18,castiga engages o dashes,heuristic_extended
Xayah,countered_by,2,Ziggs,45.67,-7.06,niega el plan principal del campeón,heuristic_extended
Xayah,countered_by,3,KogMaw,46.82,-2.93,tiene mejor rango y control de oleada,heuristic_extended
Xayah,favored_against,1,Tristana,57.05,5.94,puede abusar la fase temprana,heuristic_extended
Xayah,favored_against,2,MissFortune,53.61,3.05,gana prioridad para objetivos,heuristic_extended
Xayah,favored_against,3,Amumu,55.12,3.57,gana prioridad para objetivos,heuristic_extended
Xerath,countered_by,1,Akali,46.3,-7.37,tiene mejor rango y control de oleada,heuristic_extended
Xerath,countered_by,2,Katarina,44.02,-3.05,escala mejor y fuerza peleas favorables,heuristic_extended
Xerath,countered_by,3,Annie,46.72,-7.01,escala mejor y fuerza peleas favorables,heuristic_extended
Xerath,favored_against,1,Akshan,55.79,7.16,tiene mejor escalado en la composición,heuristic_extended
Xerath,favored_against,2,Zoe,52.98,6.83,puede abusar la fase temprana,heuristic_extended
Xerath,favored_against,3,Ekko,56.83,4.96,gana prioridad para objetivos,heuristic_extended
XinZhao,countered_by,1,Rengar,44.63,-2.8,castiga engages o dashes,heuristic_extended
XinZhao,countered_by,2,Amumu,46.96,-5.12,niega el plan principal del campeón,heuristic_extended
XinZhao,countered_by,3,Elise,46.45,-7.39,supera la fase de línea,heuristic_extended
XinZhao,favored_against,1,Skarner,55.92,4.47,tiene mejor escalado en la composición,heuristic_extended
XinZhao,favored_against,2,Ivern,55.14,6.01,controla mejor los intercambios,heuristic_extended
XinZhao,favored_against,3,Lillia,54.97,5.37,tiene mejor escalado en la composición,heuristic_extended
Yasuo,countered_by,1,Renekton,45.49,-3.17,supera la fase de línea,curated_core
Yasuo,countered_by,2,Malphite,44.9,-3.1,niega el plan principal del campeón,curated_core
Yasuo,countered_by,3,Pantheon,44.07,-5.31,tiene mejor rango y control de oleada,curated_core
Yasuo,favored_against,1,Azir,56.28,2.71,puede abusar la fase temprana,curated_core
Yasuo,favored_against,2,Syndra,52.82,2.57,gana prioridad para objetivos,curated_core
Yasuo,favored_against,3,Orianna,54.8,2.74,su kit responde bien al patrón rival,curated_core
Yone,countered_by,1,Vex,44.9,-2.4,tiene mejor rango y control de oleada,curated_core
Yone,countered_by,2,Akshan,47.64,-4.92,castiga engages o dashes,curated_core
Yone,countered_by,3,Annie,47.82,-6.85,escala mejor y fuerza peleas favorables,curated_core
Yone,favored_against,1,Azir,55.41,4.59,controla mejor los intercambios,curated_core
Yone,favored_against,2,Viktor,53.83,5.48,su kit responde bien al patrón rival,curated_core
Yone,favored_against,3,Kassadin,57.52,7.02,puede abusar la fase temprana,curated_core
Yorick,countered_by,1,Darius,44.02,-6.04,supera la fase de línea,heuristic_extended
Yorick,countered_by,2,DrMundo,43.39,-2.41,supera la fase de línea,heuristic_extended
Yorick,countered_by,3,KSante,47.41,-3.5,escala mejor y fuerza peleas favorables,heuristic_extended
Yorick,favored_against,1,Kled,51.94,6.5,controla mejor los intercambios,heuristic_extended
Yorick,favored_against,2,Trundle,51.49,6.7,tiene mejor escalado en la composición,heuristic_extended
Yorick,favored_against,3,Vayne,57.31,6.34,controla mejor los intercambios,heuristic_extended
Yuumi,countered_by,1,Taric,47.44,-4.65,supera la fase de línea,heuristic_extended
Yuumi,countered_by,2,Braum,43.53,-5.71,niega el plan principal del campeón,heuristic_extended
Yuumi,countered_by,3,Seraphine,47.55,-6.99,supera la fase de línea,heuristic_extended
Yuumi,favored_against,1,Milio,52.37,7.53,gana prioridad para objetivos,heuristic_extended
Yuumi,favored_against,2,Brand,53.92,6.34,puede abusar la fase temprana,heuristic_extended
Yuumi,favored_against,3,Leona,55.63,6.57,tiene mejor escalado en la composición,heuristic_extended
Zac,countered_by,1,Ivern,44.55,-6.56,castiga engages o dashes,heuristic_extended
Zac,countered_by,2,Nidalee,44.76,-6.69,tiene mejor rango y control de oleada,heuristic_extended
Zac,countered_by,3,Viego,48.59,-6.32,niega el plan principal del campeón,heuristic_extended
Zac,favored_against,1,Hecarim,54.83,6.86,controla mejor los intercambios,heuristic_extended
Zac,favored_against,2,Rammus,57.3,4.49,controla mejor los intercambios,heuristic_extended
Zac,favored_against,3,Vi,55.15,6.28,su kit responde bien al patrón rival,heuristic_extended
Zed,countered_by,1,Qiyana,47.15,-4.65,niega el plan principal del campeón,heuristic_extended
Zed,countered_by,2,Annie,46.54,-4.51,castiga engages o dashes,heuristic_extended
Zed,countered_by,3,Lissandra,43.97,-4.2,castiga engages o dashes,heuristic_extended
Zed,favored_against,1,Mel,51.89,6.83,puede abusar la fase temprana,heuristic_extended
Zed,favored_against,2,Katarina,53.74,5.4,puede abusar la fase temprana,heuristic_extended
Zed,favored_against,3,Veigar,51.62,2.35,gana prioridad para objetivos,heuristic_extended
Zeri,countered_by,1,Smolder,46.4,-3.85,castiga engages o dashes,heuristic_extended
Zeri,countered_by,2,Ashe,44.11,-3.11,supera la fase de línea,heuristic_extended
Zeri,countered_by,3,Draven,43.99,-3.55,castiga engages o dashes,heuristic_extended
Zeri,favored_against,1,Ezreal,52.13,4.11,tiene mejor escalado en la composición,heuristic_extended
Zeri,favored_against,2,Jhin,54.53,7.1,puede abusar la fase temprana,heuristic_extended
Zeri,favored_against,3,Malphite,51.88,3.37,su kit responde bien al patrón rival,heuristic_extended
Ziggs,countered_by,1,Taliyah,48.69,-6.01,niega el plan principal del campeón,heuristic_extended
Ziggs,countered_by,2,Anivia,46.53,-5.23,tiene mejor rango y control de oleada,heuristic_extended
Ziggs,countered_by,3,Ahri,46.3,-7.07,supera la fase de línea,heuristic_extended
Ziggs,favored_against,1,Azir,52.99,6.88,tiene mejor escalado en la composición,heuristic_extended
Ziggs,favored_against,2,Orianna,56.96,3.67,controla mejor los intercambios,heuristic_extended
Ziggs,favored_against,3,Cassiopeia,51.57,4.77,controla mejor los intercambios,heuristic_extended
Zilean,countered_by,1,RenataGlasc,45.88,-4.75,castiga engages o dashes,heuristic_extended
Zilean,countered_by,2,Senna,45.54,-2.55,supera la fase de línea,heuristic_extended
Zilean,countered_by,3,Thresh,43.98,-7.73,castiga engages o dashes,heuristic_extended
Zilean,favored_against,1,Leona,57.5,6.86,su kit responde bien al patrón rival,heuristic_extended
Zilean,favored_against,2,Morgana,51.5,4.66,puede abusar la fase temprana,heuristic_extended
Zilean,favored_against,3,Sona,51.89,5.36,controla mejor los intercambios,heuristic_extended
Zoe,countered_by,1,Brand,46.34,-4.03,niega el plan principal del campeón,heuristic_extended
Zoe,countered_by,2,LeBlanc,47.49,-6.42,niega el plan principal del campeón,heuristic_extended
Zoe,countered_by,3,Hwei,43.39,-2.88,tiene mejor rango y control de oleada,heuristic_extended
Zoe,favored_against,1,Naafiri,56.58,6.43,puede abusar la fase temprana,heuristic_extended
Zoe,favored_against,2,Annie,54.68,6.93,tiene mejor escalado en la composición,heuristic_extended
Zoe,favored_against,3,TwistedFate,55.29,2.95,su kit responde bien al patrón rival,heuristic_extended
Zyra,countered_by,1,Alistar,44.1,-7.76,tiene mejor rango y control de oleada,heuristic_extended
Zyra,countered_by,2,Sona,43.5,-6.38,supera la fase de línea,heuristic_extended
Zyra,countered_by,3,Soraka,44.92,-4.31,escala mejor y fuerza peleas favorables,heuristic_extended
Zyra,favored_against,1,Pyke,57.53,7.0,controla mejor los intercambios,heuristic_extended
Zyra,favored_against,2,Lux,52.57,3.0,tiene mejor escalado en la composición,heuristic_extended
Zyra,favored_against,3,RenataGlasc,54.61,4.7,su kit responde bien al patrón rival,heuristic_extended
